purchase_year_month,product_display_id,product_category_name_english,revenue,orders,units_sold
2016-09,PROD-011729,health_beauty,143.46,1,3
2016-09,PROD-031388,telephony,75.06,1,1
2016-09,PROD-024855,furniture_decor,71.66,1,1
2016-09,PROD-031248,furniture_decor,64.57,1,1
2016-10,PROD-030325,perfumery,2958.39,10,11
2016-10,PROD-010388,consoles_games,1962.32,2,2
2016-10,PROD-032614,watches_gifts,1423.55,1,1
2016-10,PROD-031355,sports_leisure,1400.74,1,1
2016-10,PROD-032255,electronics,1227.78,1,1
2016-10,PROD-026119,consoles_games,971.96,1,1
2016-10,PROD-013177,sports_leisure,818.12,1,1
2016-10,PROD-011313,furniture_decor,784.8,1,1
2016-10,PROD-025488,office_furniture,783.22,1,1
2016-10,PROD-012222,perfumery,715.52,2,2
2016-10,PROD-026794,air_conditioning,676.92,1,4
2016-10,PROD-000583,watches_gifts,674.33,1,1
2016-10,PROD-001237,watches_gifts,671.31,1,1
2016-10,PROD-012057,toys,663.93,1,1
2016-10,PROD-032300,consoles_games,661.75,1,1
2016-10,PROD-007464,health_beauty,659.41,1,1
2016-10,PROD-010956,watches_gifts,653.39,1,1
2016-10,PROD-028053,market_place,625.2,1,6
2016-10,PROD-009758,toys,613.78,1,1
2016-10,PROD-014228,garden_tools,611.56,1,1
2016-10,PROD-017886,auto,594.46,1,1
2016-10,PROD-010142,toys,586.94,4,4
2016-10,PROD-028871,toys,521.46,1,2
2016-10,PROD-005160,air_conditioning,507.69,2,3
2016-10,PROD-030492,housewares,484.52,2,4
2016-10,PROD-027272,housewares,467.2,1,2
2016-10,PROD-029477,auto,459.14,1,2
2016-10,PROD-017978,cool_stuff,455.01,1,1
2016-10,PROD-030388,health_beauty,449.65,1,1
2016-10,PROD-023680,sports_leisure,447.49,1,1
2016-10,PROD-019531,industry_commerce_and_business,433.56,3,4
2016-10,PROD-029011,furniture_decor,420.08,1,1
2016-10,PROD-009713,garden_tools,419.06,1,1
2016-10,PROD-020626,pet_shop,415.68,1,1
2016-10,PROD-009211,air_conditioning,401.3,1,2
2016-10,PROD-021522,auto,401.19,1,1
2016-10,PROD-008340,toys,398.12,1,1
2016-10,PROD-015772,health_beauty,377.08,4,5
2016-10,PROD-009269,perfumery,366.18,5,5
2016-10,PROD-030109,perfumery,363.51,1,1
2016-10,PROD-032143,computers_accessories,359.85,2,2
2016-10,PROD-008880,health_beauty,351.77,3,3
2016-10,PROD-024554,baby,342.69,1,1
2016-10,PROD-009818,market_place,338.68,1,1
2016-10,PROD-025521,toys,333.66,3,3
2016-10,PROD-008707,perfumery,319.09,1,1
2016-10,PROD-011246,air_conditioning,319.0,1,1
2016-10,PROD-026740,furniture_decor,317.9,1,1
2016-10,PROD-009136,auto,315.24,1,1
2016-10,PROD-006144,perfumery,313.72,1,1
2016-10,PROD-005607,perfumery,313.58,1,1
2016-10,PROD-029369,office_furniture,309.81,2,2
2016-10,PROD-021256,toys,304.48,2,2
2016-10,PROD-026037,books_technical,299.84,1,1
2016-10,PROD-020870,toys,297.91,1,1
2016-10,PROD-030040,perfumery,297.35,1,1
2016-10,PROD-004523,furniture_decor,287.04,3,4
2016-10,PROD-021986,fixed_telephony,286.55,1,1
2016-10,PROD-007301,furniture_decor,266.11,1,1
2016-10,PROD-020641,furniture_decor,265.95,1,1
2016-10,PROD-007972,health_beauty,264.44,3,3
2016-10,PROD-028599,office_furniture,264.08,1,1
2016-10,PROD-007890,baby,261.92,1,1
2016-10,PROD-010461,health_beauty,256.65,1,1
2016-10,PROD-023180,telephony,252.19,1,1
2016-10,PROD-024663,health_beauty,246.09,1,1
2016-10,PROD-010401,cool_stuff,237.97,1,1
2016-10,PROD-016727,furniture_decor,237.45,1,1
2016-10,PROD-005492,housewares,232.63,2,2
2016-10,PROD-023508,office_furniture,230.44,2,2
2016-10,PROD-028290,baby,224.32,1,2
2016-10,PROD-007834,baby,217.3,1,1
2016-10,PROD-015793,fixed_telephony,214.98,1,1
2016-10,PROD-016170,health_beauty,214.02,3,3
2016-10,PROD-009932,furniture_decor,212.32,1,1
2016-10,PROD-027112,housewares,204.38,1,1
2016-10,PROD-027727,consoles_games,202.77,1,1
2016-10,PROD-030074,market_place,199.07,1,1
2016-10,PROD-028933,garden_tools,196.27,1,1
2016-10,PROD-014552,auto,194.85,1,1
2016-10,PROD-031450,furniture_decor,192.56,1,1
2016-10,PROD-027600,health_beauty,192.55,1,1
2016-10,PROD-006762,bed_bath_table,184.87,1,1
2016-10,PROD-017540,furniture_decor,184.6,1,2
2016-10,PROD-007059,furniture_decor,183.02,1,1
2016-10,PROD-017683,perfumery,181.59,1,3
2016-10,PROD-025168,furniture_decor,178.11,1,1
2016-10,PROD-013833,health_beauty,177.74,1,2
2016-10,PROD-013146,furniture_decor,177.42,1,3
2016-10,PROD-004549,sports_leisure,177.28,1,1
2016-10,PROD-000745,computers_accessories,176.85,1,1
2016-10,PROD-008140,baby,176.23,1,1
2016-10,PROD-031438,toys,175.14,2,2
2016-10,PROD-007927,health_beauty,173.77,1,1
2016-10,PROD-002004,sports_leisure,173.4,1,1
2016-10,PROD-010070,computers_accessories,170.3,1,1
2016-10,PROD-017842,toys,163.2,1,2
2016-10,PROD-031404,cool_stuff,162.6,1,1
2016-10,PROD-030971,fixed_telephony,161.65,1,1
2016-10,PROD-023466,furniture_decor,161.24,1,1
2016-10,PROD-021344,sports_leisure,160.44,1,1
2016-10,PROD-020271,garden_tools,156.22,1,1
2016-10,PROD-014107,consoles_games,155.32,2,2
2016-10,PROD-000777,health_beauty,154.29,1,1
2016-10,PROD-011884,toys,154.1,1,1
2016-10,PROD-029144,fashion_bags_accessories,153.51,1,1
2016-10,PROD-031328,diapers_and_hygiene,150.99,1,1
2016-10,PROD-017801,health_beauty,149.54,1,1
2016-10,PROD-004269,furniture_decor,149.46,1,2
2016-10,PROD-002181,furniture_decor,149.39,1,1
2016-10,PROD-012854,audio,147.08,1,1
2016-10,PROD-018434,health_beauty,145.98,2,2
2016-10,PROD-012381,books_general_interest,144.54,1,1
2016-10,PROD-024404,health_beauty,143.78,1,1
2016-10,PROD-002259,toys,142.34,1,1
2016-10,PROD-009714,toys,140.99,1,1
2016-10,PROD-013980,furniture_decor,139.89,1,1
2016-10,PROD-013954,computers_accessories,134.91,1,1
2016-10,PROD-016412,toys,134.8,1,1
2016-10,PROD-002156,furniture_decor,133.46,1,1
2016-10,PROD-014172,health_beauty,133.42,2,2
2016-10,PROD-005059,health_beauty,132.91,3,3
2016-10,PROD-010458,health_beauty,129.16,1,2
2016-10,PROD-024376,furniture_decor,129.03,1,3
2016-10,PROD-029849,health_beauty,128.32,2,2
2016-10,PROD-001435,pet_shop,127.86,1,1
2016-10,PROD-017999,health_beauty,126.25,1,1
2016-10,PROD-003952,toys,123.2,1,1
2016-10,PROD-028939,cool_stuff,121.01,1,1
2016-10,PROD-002420,electronics,119.79,1,1
2016-10,PROD-026901,health_beauty,116.89,1,1
2016-10,PROD-002073,computers_accessories,116.82,2,2
2016-10,PROD-015529,pet_shop,116.16,1,1
2016-10,PROD-021337,pet_shop,116.16,1,1
2016-10,PROD-024855,furniture_decor,114.12,2,2
2016-10,PROD-016466,furniture_decor,112.78,1,1
2016-10,PROD-017006,market_place,112.52,1,1
2016-10,PROD-006908,furniture_decor,111.51,1,1
2016-10,PROD-015423,bed_bath_table,110.49,1,3
2016-10,PROD-027139,baby,109.34,1,1
2016-10,PROD-022494,telephony,108.84,1,2
2016-10,PROD-003130,baby,108.12,1,1
2016-10,PROD-024243,furniture_decor,107.42,2,2
2016-10,PROD-001593,cool_stuff,107.41,1,1
2016-10,PROD-013963,sports_leisure,107.37,1,1
2016-10,PROD-000319,perfumery,105.39,1,1
2016-10,PROD-004020,health_beauty,104.6,1,1
2016-10,PROD-032323,health_beauty,102.69,1,1
2016-10,PROD-022225,furniture_decor,102.45,2,2
2016-10,PROD-005104,computers_accessories,102.1,2,2
2016-10,PROD-008817,furniture_decor,101.44,1,2
2016-10,PROD-025520,fashion_bags_accessories,99.23,1,1
2016-10,PROD-001214,health_beauty,98.83,1,1
2016-10,PROD-023540,market_place,98.55,1,1
2016-10,PROD-015836,food,96.23,1,1
2016-10,PROD-022732,toys,96.23,1,1
2016-10,PROD-009438,bed_bath_table,95.81,1,1
2016-10,PROD-013288,bed_bath_table,95.81,1,1
2016-10,PROD-027413,furniture_decor,95.81,1,1
2016-10,PROD-032589,furniture_decor,95.81,1,1
2016-10,PROD-021900,fashion_bags_accessories,95.66,1,2
2016-10,PROD-023994,computers_accessories,95.58,1,1
2016-10,PROD-023694,baby,92.97,1,1
2016-10,PROD-024649,furniture_decor,92.27,1,1
2016-10,PROD-005431,furniture_decor,91.28,1,1
2016-10,PROD-024041,fixed_telephony,91.16,1,1
2016-10,PROD-026412,fashion_bags_accessories,91.07,1,1
2016-10,PROD-024541,cool_stuff,90.23,1,1
2016-10,PROD-021426,cool_stuff,89.16,1,1
2016-10,PROD-027214,furniture_decor,89.08,1,1
2016-10,PROD-006775,health_beauty,87.9,1,1
2016-10,PROD-022537,furniture_decor,87.51,1,1
2016-10,PROD-017518,furniture_decor,87.29,1,1
2016-10,PROD-003958,furniture_decor,86.92,1,1
2016-10,PROD-017243,furniture_decor,86.88,1,1
2016-10,PROD-020703,furniture_decor,85.82,1,1
2016-10,PROD-025350,furniture_decor,85.58,1,1
2016-10,PROD-019301,baby,84.07,1,1
2016-10,PROD-006782,computers_accessories,82.69,1,1
2016-10,PROD-012240,garden_tools,82.08,1,1
2016-10,PROD-028683,market_place,80.94,1,1
2016-10,PROD-021649,sports_leisure,80.25,1,1
2016-10,PROD-031031,auto,76.6,1,1
2016-10,PROD-025013,furniture_decor,76.51,1,1
2016-10,PROD-016994,health_beauty,76.47,1,1
2016-10,PROD-010747,furniture_decor,76.1,1,1
2016-10,PROD-024249,computers_accessories,75.93,1,1
2016-10,PROD-029270,fashion_bags_accessories,75.84,1,1
2016-10,PROD-019673,perfumery,74.83,1,1
2016-10,PROD-028550,toys,74.74,1,1
2016-10,PROD-006767,bed_bath_table,74.59,1,1
2016-10,PROD-010689,market_place,72.6,1,1
2016-10,PROD-007898,health_beauty,72.51,1,1
2016-10,PROD-030453,fashio_female_clothing,69.63,1,1
2016-10,PROD-005850,furniture_decor,69.35,1,1
2016-10,PROD-005698,furniture_decor,66.7,1,1
2016-10,PROD-021518,auto,66.03,1,1
2016-10,PROD-020119,sports_leisure,65.83,2,2
2016-10,PROD-009938,health_beauty,65.77,1,1
2016-10,PROD-002215,sports_leisure,65.7,1,1
2016-10,PROD-011442,unknown,65.5,1,1
2016-10,PROD-025403,consoles_games,65.11,1,1
