purchase_year_month,seller_display_id,revenue,orders,units_sold
2016-09,SELL-002863,143.46,1,3
2016-09,SELL-000247,136.23,1,2
2016-09,SELL-001999,75.06,1,1
2016-10,SELL-001199,6298.23,27,29
2016-10,SELL-001604,2934.28,3,3
2016-10,SELL-000844,2538.13,10,11
2016-10,SELL-000923,1999.03,3,3
2016-10,SELL-002869,1901.15,5,10
2016-10,SELL-001462,1720.62,3,3
2016-10,SELL-002863,1457.89,14,16
2016-10,SELL-001561,1423.55,1,1
2016-10,SELL-001661,1400.74,1,1
2016-10,SELL-001652,1359.96,3,3
2016-10,SELL-002902,1227.78,1,1
2016-10,SELL-002040,1205.52,6,6
2016-10,SELL-000669,1156.24,8,13
2016-10,SELL-002486,1154.87,8,13
2016-10,SELL-000808,1109.06,2,2
2016-10,SELL-001681,960.94,7,10
2016-10,SELL-001594,891.42,6,6
2016-10,SELL-001127,784.8,1,1
2016-10,SELL-000661,783.22,1,1
2016-10,SELL-000990,772.32,3,3
2016-10,SELL-001114,717.15,4,6
2016-10,SELL-000028,625.2,1,6
2016-10,SELL-001928,611.56,1,1
2016-10,SELL-001329,594.46,1,1
2016-10,SELL-002447,581.33,3,3
2016-10,SELL-002129,578.19,7,7
2016-10,SELL-002530,562.59,4,7
2016-10,SELL-002420,519.83,4,4
2016-10,SELL-001066,467.2,1,2
2016-10,SELL-000508,459.14,1,2
2016-10,SELL-002459,420.08,1,1
2016-10,SELL-001367,415.68,1,1
2016-10,SELL-002203,414.79,2,2
2016-10,SELL-002812,409.04,5,5
2016-10,SELL-001386,394.5,2,2
2016-10,SELL-001608,385.51,4,6
2016-10,SELL-002672,377.43,2,2
2016-10,SELL-003024,360.18,3,3
2016-10,SELL-002139,346.84,2,2
2016-10,SELL-000404,338.68,1,1
2016-10,SELL-000247,337.81,5,5
2016-10,SELL-001989,330.33,2,2
2016-10,SELL-002986,329.62,2,2
2016-10,SELL-000821,329.39,3,3
2016-10,SELL-001207,301.54,2,2
2016-10,SELL-000900,299.84,1,1
2016-10,SELL-002127,287.04,3,4
2016-10,SELL-001035,286.55,1,1
2016-10,SELL-002504,285.78,6,6
2016-10,SELL-000158,271.73,2,4
2016-10,SELL-000893,266.11,1,1
2016-10,SELL-001551,265.95,1,1
2016-10,SELL-002180,254.21,2,3
2016-10,SELL-001543,250.69,1,2
2016-10,SELL-000890,247.0,2,2
2016-10,SELL-002727,246.09,1,1
2016-10,SELL-000976,237.97,1,1
2016-10,SELL-001203,237.45,1,1
2016-10,SELL-000174,232.43,3,4
2016-10,SELL-001056,231.68,2,2
2016-10,SELL-001804,225.62,3,4
2016-10,SELL-001875,214.98,1,1
2016-10,SELL-001685,213.98,4,5
2016-10,SELL-000446,208.57,2,2
2016-10,SELL-002577,204.38,1,1
2016-10,SELL-000639,196.27,1,1
2016-10,SELL-003028,194.85,1,1
2016-10,SELL-000899,192.46,2,2
2016-10,SELL-002975,184.26,2,2
2016-10,SELL-001167,183.03,2,2
2016-10,SELL-001468,178.11,1,1
2016-10,SELL-002526,176.85,1,1
2016-10,SELL-002153,175.96,2,2
2016-10,SELL-002287,168.37,3,3
2016-10,SELL-002147,163.2,1,2
2016-10,SELL-001862,160.44,1,1
2016-10,SELL-001719,159.59,3,3
2016-10,SELL-000288,155.17,2,4
2016-10,SELL-000160,153.51,1,1
2016-10,SELL-000625,153.01,2,2
2016-10,SELL-001104,149.46,1,2
2016-10,SELL-002990,149.39,1,1
2016-10,SELL-003095,146.97,2,2
2016-10,SELL-001625,144.54,1,1
2016-10,SELL-001170,142.34,1,1
2016-10,SELL-002835,140.99,1,1
2016-10,SELL-002458,136.7,2,2
2016-10,SELL-002113,134.91,1,1
2016-10,SELL-002962,133.42,2,2
2016-10,SELL-000014,129.16,1,2
2016-10,SELL-001097,126.25,1,1
2016-10,SELL-000074,121.01,1,1
2016-10,SELL-001766,119.79,1,1
2016-10,SELL-001501,112.78,1,1
2016-10,SELL-002698,111.51,1,1
2016-10,SELL-000717,108.12,1,1
2016-10,SELL-002668,105.49,2,2
2016-10,SELL-000090,103.37,2,2
2016-10,SELL-000166,102.1,2,2
2016-10,SELL-000411,95.58,1,1
2016-10,SELL-002973,92.97,1,1
2016-10,SELL-000079,91.28,1,1
2016-10,SELL-001704,91.16,1,1
2016-10,SELL-002518,90.23,1,1
2016-10,SELL-000022,89.16,1,1
2016-10,SELL-002571,87.29,1,1
2016-10,SELL-001198,84.07,1,1
2016-10,SELL-002768,82.08,1,1
2016-10,SELL-002063,80.25,1,1
2016-10,SELL-000397,79.41,2,2
2016-10,SELL-003027,74.74,1,1
2016-10,SELL-002953,72.6,1,1
2016-10,SELL-002867,65.83,2,2
2016-10,SELL-000664,65.7,1,1
2016-10,SELL-001586,64.83,1,1
2016-10,SELL-001903,61.64,1,1
2016-10,SELL-002575,61.16,1,1
2016-10,SELL-001987,61.02,1,1
2016-10,SELL-000200,60.52,1,1
2016-10,SELL-002107,59.81,1,1
2016-10,SELL-002689,57.06,1,1
2016-10,SELL-001366,55.6,1,1
2016-10,SELL-000840,53.73,1,1
2016-10,SELL-003078,50.86,1,1
2016-10,SELL-001054,47.54,1,1
2016-10,SELL-000039,47.37,1,2
2016-10,SELL-000987,45.96,1,1
2016-10,SELL-002373,45.01,1,1
2016-10,SELL-001606,42.42,1,1
2016-10,SELL-000564,41.18,1,1
2016-10,SELL-001695,40.95,1,1
2016-10,SELL-002171,40.95,1,1
2016-10,SELL-002906,39.09,1,1
2016-10,SELL-001641,35.42,1,1
2016-10,SELL-002330,34.62,1,1
2016-10,SELL-001666,34.42,1,1
2016-10,SELL-002242,34.42,1,1
2016-10,SELL-000948,33.52,1,1
2016-10,SELL-002531,33.42,1,1
2016-10,SELL-000234,31.92,1,1
2016-10,SELL-000416,30.42,1,1
2016-10,SELL-000038,27.86,1,1
2016-10,SELL-001220,24.52,1,1
2016-12,SELL-000864,19.62,1,1
2017-01,SELL-001462,5823.72,9,11
2017-01,SELL-002486,5665.59,47,60
2017-01,SELL-001199,5187.71,27,31
2017-01,SELL-002490,4705.3,13,13
2017-01,SELL-000844,4138.47,16,16
2017-01,SELL-003025,3834.22,5,5
2017-01,SELL-000990,3807.13,11,11
2017-01,SELL-002447,3799.18,9,9
2017-01,SELL-001561,3350.71,4,4
2017-01,SELL-001449,2695.18,5,6
2017-01,SELL-000882,2642.76,26,28
2017-01,SELL-000060,2594.42,6,7
2017-01,SELL-001154,2551.9,4,4
2017-01,SELL-002727,2421.92,7,7
2017-01,SELL-000767,2217.99,1,1
2017-01,SELL-001604,2162.79,5,6
2017-01,SELL-000343,2023.0,1,1
2017-01,SELL-001639,2019.79,8,11
2017-01,SELL-001712,1961.0,1,1
2017-01,SELL-001097,1770.84,10,10
2017-01,SELL-001586,1744.85,11,11
2017-01,SELL-001989,1700.87,13,13
2017-01,SELL-001536,1660.95,8,10
